source,target,relation
/PM0/ABUAACTGRP,/PM0/ABUUGRPDIM,requires
/PM0/ABUCCORTYP,TFK070A,requires
/PM0/ABUCCORTYP,ESENDCONTROL,requires
/PM0/ABUNBCCFC,/PM0/ABUNCASHFL,requires
/PM0/ABUNBCCFC,/PM0/ABUALOBCD,requires
/PM0/ABUNPOSTYP,/PM0/ABUTOPGR,requires
/PM0/ABUNPOSTYP,/PM0/ABUNBALACC,requires
/PM0/ABUNPOSTYP,/PM0/ABUNPOSTYP,requires
/PM0/ABUNUCAAA,/PM0/ABUALOBCD,requires
/PM0/ABUUGRBTX,/PM0/ABUUBTXGRP,requires
/PM0/ABUUGRBTX,/PM0/ABUUBTX,requires
/PM0/ABUUGRBTX,/PM0/ABUUBTXSEQ,requires
COFUNC2,T000,requires
AGR_HPAGET,T000,requires
AGR_HPAGET,AGR_HPAGE,requires
AGR_HPAGE,T000,requires
/SCWM/TMONITOR,/SCWM/TMONITOR,requires
VMP_C_VISFLT,T000,requires
EHFNDC_CMPSTYPEC,EHFNDC_CMPSTYPE,requires
EHFNDC_CMPSTYPEC,T005,requires
EHFNDC_CMPSTYPET,T000,requires
EHFNDC_CMPSTYPET,EHFNDC_CMPSTYPE,requires
FINS_FDCA_STEP_T,T000,requires
FINS_FDCA_STEP_T,FINS_FDCA_STEP,requires
FDCA_SUB_APPL,T000,requires
FDCA_SUB_APPL,FINS_FDCA_APPL,requires
FDCA_SUB_APPL_T,T000,requires
FDCA_SUB_APPL_T,FDCA_SUB_APPL,requires
FINS_FDCA_APPL_T,T000,requires
FINS_FDCA_APPL_T,FINS_FDCA_APPL,requires
FINS_FDCA_ASSGMT,FDCA_SUB_APPL,requires
FINS_FDCA_STEP,T000,requires
FINS_FDCA_STEP,FDCA_SUB_APPL,requires
VMP_C_VISFLT_T,VMP_C_VISFLT,requires
ROLE_GROUPT,ROLE_GROUP,requires
